127.0.0.1 - - [16/Jun/2021:09:24:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:51 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:51 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:52 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:52 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:52 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:52 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:52 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:53 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:53 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:53 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:53 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:54 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:54 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:54 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:55 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:55 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:49:13 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:49:33 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:49:34 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:52:09 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:52:18 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:53:45 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:54:13 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:54:13 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:55:30 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:57:57 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:02 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:04 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchWord= HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:08 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchWord= HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:08 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchWord= HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:10 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchWord= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:20 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchWord= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:28 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:58:35 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchWord= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:35 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:41 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:41 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:51 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:54 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:59:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:00:02 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:01:17 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:01:23 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchType=title&searchWord= HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:02:15 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:02:17 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchType=title&searchWord= HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:02:19 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchType=title&searchWord= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:02:21 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html?searchType=writer&searchWord= HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:04:15 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:05:47 +0900] "GET /Lecture-Web/javascript/DOM/exam12.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:10:04 +0900] "GET /Lecture-Web/javascript/DOM/exam12.html HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:12:13 +0900] "GET /Lecture-Web/javascript/DOM/exam12.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:17:43 +0900] "GET /Lecture-Web/javascript/DOM/exam12.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [16/Jun/2021:14:18:44 +0900] "GET /Lecture-Web/javascript/DOM/exam12.html HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:10:26 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:10:26 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:13:29 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:13:29 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:17:22 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:17:30 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:17:54 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:17:58 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:20:07 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:20:18 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:20:26 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:20:58 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:21:07 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:22:30 +0900] "GET /Lecture-Web/jquery/exam01.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:30:59 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:30:59 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:35:06 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:35:06 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:37 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:50 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:51 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:51 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:51 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:51 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:52 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:52 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:52 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:52 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:52 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:36:54 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:39:45 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:39:45 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:39:55 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:39:59 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:40:00 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:40:01 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:40:01 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:40:18 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:44:54 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:44:54 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:36 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:36 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:42 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:42 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:43 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:45 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:54 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:55 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:55 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:51:00 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:51:02 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:51:17 +0900] "GET /Lecture-Web/jquery/exam02.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [16/Jun/2021:15:55:14 +0900] "GET /Lecture-Web/jquery/exam03.html HTTP/1.1" 200 498
